round,date,time,type,place,teams,GF,GA,team-emblem
1,2026.04.05（日）,17:10,AWAY,清瀬内山公園サッカー場A面,FC.Japheego!,2,1,FC.Japheego!.png
2,2026.04.19（日）,19:05,HOME,つくば万博G,B.Y.FC,2,0,B.Y.FC.png

3,2026.05.10（日）,19:10,AWAY,東金町多目的運動場,SCUDETTO,1,1,SCUDETTO.png
4,2026.05.24（日）,17:10,AWAY,非公開,シティFC,2,2,シティFC.png
5,2026.06.07（日）,17:10,HOME,所沢航空記念公園運動場,FORTUNA TOKYO,2,3,FORTUNA.png
6,2026.07.05（日）,18:10,HOME,Tフィールド,TTAFF,,,TTAFF.png
7,2026.07.19（日）,18:30,AWAY,非公開,むさしのFC,,,むさしの２.png
